# uzlezz-bench v1
# scenario=burst
# loading=async
# vsync=0
# warmup_frames=300
# batch_textures=12
# batch_failed=0
# batch_from_cache=0
# batch_bytes=16838877
# batch_ms=119.166
# complete=1
# exit_during_load=0
# upload_budget_ms=4
frame,phase,frame_ms,main_load_ms
203,idle,0.4692,0.0000
204,idle,0.4634,0.0000
205,idle,0.4299,0.0000
206,idle,0.4089,0.0000
207,idle,0.5435,0.0000
208,idle,0.5471,0.0000
209,idle,0.4197,0.0000
210,idle,0.4434,0.0000
211,idle,0.5770,0.0000
212,idle,0.4401,0.0000
213,idle,0.4031,0.0000
214,idle,0.3950,0.0000
215,idle,0.4061,0.0000
216,idle,0.4087,0.0000
217,idle,0.3915,0.0000
218,idle,0.3918,0.0000
219,idle,0.5838,0.0000
220,idle,0.5905,0.0000
221,idle,0.5168,0.0000
222,idle,0.8241,0.0000
223,idle,0.5182,0.0000
224,idle,0.5090,0.0000
225,idle,0.4944,0.0000
226,idle,0.4256,0.0000
227,idle,0.4056,0.0000
228,idle,0.3930,0.0000
229,idle,0.4019,0.0000
230,idle,0.3937,0.0000
231,idle,0.3887,0.0000
232,idle,0.4101,0.0000
233,idle,0.3910,0.0000
234,idle,0.5453,0.0000
235,idle,0.7542,0.0000
236,idle,0.5223,0.0000
237,idle,0.5074,0.0000
238,idle,0.4893,0.0000
239,idle,0.4310,0.0000
240,idle,0.4023,0.0000
241,idle,0.3943,0.0000
242,idle,0.3935,0.0000
243,idle,0.4141,0.0000
244,idle,0.3913,0.0000
245,idle,0.3878,0.0000
246,idle,0.4182,0.0000
247,idle,0.3907,0.0000
248,idle,0.3937,0.0000
249,idle,0.3856,0.0000
250,idle,0.3897,0.0000
251,idle,0.3941,0.0000
252,idle,0.3922,0.0000
253,idle,0.4166,0.0000
254,idle,0.3868,0.0000
255,idle,0.3918,0.0000
256,idle,0.3877,0.0000
257,idle,0.3862,0.0000
258,idle,0.5418,0.0000
259,idle,0.9800,0.0000
260,idle,0.4941,0.0000
261,idle,0.4676,0.0000
262,idle,0.3986,0.0000
263,idle,0.5208,0.0000
264,idle,0.5328,0.0000
265,idle,0.5752,0.0000
266,idle,0.6702,0.0000
267,idle,0.5501,0.0000
268,idle,0.4265,0.0000
269,idle,0.4060,0.0000
270,idle,0.4047,0.0000
271,idle,0.4477,0.0000
272,idle,0.4357,0.0000
273,idle,0.4808,0.0000
274,idle,0.4458,0.0000
275,idle,0.4014,0.0000
276,idle,0.4228,0.0000
277,idle,0.4153,0.0000
278,idle,0.5513,0.0000
279,idle,0.4620,0.0000
280,idle,0.5239,0.0000
281,idle,0.4881,0.0000
282,idle,0.4777,0.0000
283,idle,0.4293,0.0000
284,idle,0.4001,0.0000
285,idle,0.4690,0.0000
286,idle,0.4731,0.0000
287,idle,0.4925,0.0000
288,idle,0.4409,0.0000
289,idle,0.4296,0.0000
290,idle,0.4555,0.0000
291,idle,0.5114,0.0000
292,idle,0.4850,0.0000
293,idle,0.4847,0.0000
294,idle,0.4483,0.0000
295,idle,0.3992,0.0000
296,idle,0.3904,0.0000
297,idle,0.3882,0.0000
298,idle,0.9337,0.0000
299,idle,0.4438,0.0000
300,load,1.0177,0.0000
301,load,0.7040,0.0000
302,load,0.6306,0.0000
303,load,0.5737,0.0000
304,load,0.6163,0.0000
305,load,0.6035,0.0000
306,load,0.5563,0.0000
307,load,1.2822,0.0000
308,load,6.4324,5.7669
309,load,4.7731,4.0733
310,load,11.5084,10.8805
311,load,1.1509,0.0000
312,load,1.1254,0.0000
313,load,0.5640,0.0000
