# mode=parallel
# characters=64
# workers=15
# batch=32
# warmup=120
# vsync=0
# resolution=800x600
# complete=1
# exit_loading=0
# pending_at_exit=0
frame,frame_ms,animation_ms,render_submit_ms
0,0.9109,0.3942,0.3279
1,1.0117,0.3382,0.3979
2,0.9681,0.3391,0.3752
3,0.9495,0.3115,0.416
4,1.2141,0.5145,0.3621
5,0.8778,0.309,0.3332
6,0.8708,0.3211,0.3257
7,1.0604,0.3844,0.3277
8,0.8332,0.3008,0.3234
9,0.8532,0.3103,0.3361
10,1.1034,0.5248,0.3774
11,0.9004,0.2491,0.3897
12,0.9049,0.2945,0.3794
13,0.8122,0.2776,0.3274
14,0.8841,0.3659,0.3247
15,0.7674,0.2523,0.3271
16,0.8169,0.3036,0.324
17,1.0595,0.2986,0.525
18,1.0452,0.407,0.3317
19,0.9367,0.2475,0.3308
20,0.7873,0.251,0.3242
21,0.7913,0.2532,0.3302
22,0.767,0.2548,0.3215
23,0.757,0.2482,0.3225
24,0.7608,0.2403,0.322
25,0.8337,0.2745,0.3458
26,0.8212,0.2578,0.3276
27,0.7788,0.2564,0.3259
28,0.7716,0.243,0.3261
29,0.831,0.2995,0.3262
30,0.8107,0.3002,0.321
31,0.8285,0.3016,0.3227
32,0.8337,0.3174,0.3242
33,0.8487,0.3106,0.332
34,0.8678,0.3079,0.3248
35,1.0233,0.3002,0.3461
36,1.2163,0.3169,0.4185
37,1.1023,0.4153,0.3851
38,0.9379,0.3955,0.3302
39,0.8861,0.2457,0.4006
40,0.9393,0.3904,0.3322
41,1.2089,0.3104,0.3942
42,0.8325,0.2981,0.3246
43,1.0226,0.3634,0.395
44,1.0036,0.3819,0.3887
45,0.844,0.2967,0.3481
46,1.1143,0.4596,0.3929
47,1.014,0.4073,0.3429
48,0.8748,0.3449,0.3291
49,0.8098,0.2957,0.322
50,0.8155,0.3096,0.3204
51,0.8749,0.3665,0.322
52,0.914,0.356,0.3649
53,1.1159,0.4913,0.38
54,0.8682,0.3263,0.3333
55,0.8594,0.3239,0.3269
56,0.9,0.355,0.3238
57,0.8705,0.2939,0.3588
58,0.8243,0.2971,0.3337
59,0.8298,0.287,0.3386
