# mode=parallel
# characters=64
# workers=15
# batch=32
# warmup=120
# vsync=0
# resolution=800x600
# complete=1
# exit_loading=0
# pending_at_exit=0
frame,frame_ms,animation_ms,render_submit_ms
0,1.1171,0.3368,0.4079
1,1.1771,0.2954,0.4604
2,0.9811,0.2962,0.3839
3,0.8597,0.3155,0.3267
4,0.8904,0.3773,0.3202
5,0.7706,0.2398,0.3195
6,1.0652,0.3812,0.4278
7,0.9761,0.451,0.3213
8,0.8084,0.25,0.3297
9,0.8634,0.339,0.331
10,0.8387,0.3151,0.3259
11,0.8735,0.3673,0.3187
12,0.8093,0.3061,0.3171
13,0.7981,0.2952,0.3185
14,0.838,0.3042,0.3363
15,0.768,0.2618,0.3183
16,0.827,0.2592,0.3205
17,0.8645,0.331,0.3249
18,0.8284,0.3105,0.3209
19,0.8379,0.3241,0.3197
20,0.7586,0.2487,0.3186
21,0.8638,0.3553,0.3206
22,0.9215,0.3646,0.3616
23,0.9615,0.2944,0.3907
24,0.9095,0.2952,0.3798
25,0.9185,0.3084,0.3795
26,0.8259,0.2923,0.3301
27,0.9843,0.3791,0.3794
28,0.8894,0.3487,0.321
29,0.8864,0.2905,0.3874
30,0.8505,0.3057,0.3252
31,0.8523,0.3349,0.3253
32,0.808,0.2955,0.325
33,0.8205,0.3137,0.3204
34,0.97,0.4627,0.3188
35,0.8251,0.3085,0.3304
36,0.824,0.3102,0.3197
37,1.0338,0.455,0.3704
38,0.7944,0.243,0.3271
39,0.8272,0.3036,0.3258
40,0.8107,0.2418,0.3412
41,0.9497,0.3146,0.395
42,0.7772,0.2577,0.321
43,0.7637,0.2502,0.3237
44,0.8541,0.2641,0.3865
45,0.9133,0.3045,0.3583
46,0.7481,0.2402,0.3166
47,0.7602,0.2434,0.3315
48,0.8232,0.2987,0.3244
49,0.8325,0.3048,0.3384
50,0.8272,0.302,0.3201
51,0.8098,0.288,0.3349
52,1.0752,0.3044,0.5116
53,0.8483,0.286,0.3345
54,0.9185,0.2734,0.3778
55,0.7948,0.2617,0.3258
56,0.8136,0.3004,0.3213
57,0.8326,0.3248,0.321
58,0.8911,0.3807,0.3212
59,0.8638,0.2956,0.3199
