# mode=parallel
# characters=64
# workers=15
# batch=32
# warmup=120
# vsync=0
# resolution=800x600
# complete=1
# exit_loading=0
# pending_at_exit=0
frame,frame_ms,animation_ms,render_submit_ms
0,1.4065,0.3632,0.5747
1,1.1792,0.2861,0.536
2,1.3479,0.3357,0.5466
3,1.5285,0.3235,0.7158
4,1.3248,0.3237,0.5515
5,1.3537,0.3384,0.5653
6,1.2984,0.4044,0.6045
7,1.1216,0.419,0.3403
8,1.6379,0.3365,0.4897
9,1.4145,0.3451,0.5844
10,1.1867,0.3513,0.5577
11,1.2996,0.3492,0.5684
12,1.3899,0.3576,0.5651
13,1.9397,0.3457,0.5715
14,1.209,0.385,0.5572
15,1.0739,0.3377,0.4916
16,1.5637,0.3634,0.5868
17,1.7146,0.5694,0.6457
18,1.3442,0.3687,0.6375
19,1.8277,0.8731,0.5366
20,1.2266,0.3364,0.6271
21,1.5432,0.3419,0.5775
22,1.6089,0.3307,0.5089
23,1.2537,0.3393,0.6168
24,1.7049,0.4187,0.5556
25,1.3242,0.4047,0.6258
26,1.5937,0.5491,0.5822
27,1.8344,0.3349,0.6214
28,1.5492,0.5896,0.5747
29,1.5603,0.4704,0.6657
30,1.5359,0.3715,0.591
31,1.4321,0.354,0.3494
32,1.2065,0.3,0.5668
33,1.177,0.3348,0.4487
34,2.0206,0.3711,1.0334
35,1.7685,0.3507,0.5935
36,1.1872,0.3489,0.5669
37,1.1467,0.3475,0.5169
38,1.4743,0.3611,0.598
39,1.9612,0.3772,0.5396
40,1.2537,0.3399,0.619
41,1.9662,0.3547,0.5944
42,1.6079,0.3706,0.9696
43,1.6285,0.3867,0.5789
44,1.6519,0.3532,0.5488
45,1.2935,0.3488,0.6581
46,1.7248,0.3316,0.9796
47,1.2421,0.3294,0.6012
48,1.8703,0.3048,0.5008
49,1.2679,0.3484,0.5653
50,1.2639,0.3798,0.5594
51,1.4423,0.4211,0.6225
52,2.1606,0.4315,0.5858
53,1.3745,0.3932,0.5366
54,1.4536,0.3913,0.5377
55,1.3611,0.3433,0.5566
56,1.2107,0.322,0.5405
57,1.1953,0.3273,0.5046
58,1.0988,0.2882,0.547
59,1.1539,0.3309,0.5676
