# mode=parallel
# characters=64
# workers=15
# batch=32
# warmup=120
# vsync=0
# resolution=800x600
# complete=1
# exit_loading=0
# pending_at_exit=0
frame,frame_ms,animation_ms,render_submit_ms
0,0.848,0.3115,0.329
1,1.0052,0.4322,0.3587
2,0.7732,0.2488,0.3276
3,0.8598,0.2547,0.3338
4,0.7819,0.2405,0.3211
5,0.9398,0.3797,0.3529
6,0.8415,0.3041,0.3279
7,0.8855,0.3517,0.3249
8,0.7558,0.2434,0.3235
9,0.9042,0.298,0.3851
10,0.7498,0.2395,0.3203
11,0.8007,0.2763,0.3247
12,0.9392,0.3717,0.3701
13,0.8256,0.3042,0.3249
14,0.9024,0.2493,0.3854
15,0.8085,0.2685,0.3321
16,0.8495,0.3172,0.325
17,0.8883,0.3018,0.3294
18,0.8867,0.3517,0.3304
19,0.8354,0.3128,0.3225
20,1.0083,0.3395,0.4032
21,0.83,0.2944,0.3272
22,0.7582,0.2435,0.3244
23,0.9343,0.3018,0.3861
24,0.8964,0.2944,0.3808
25,0.8192,0.2964,0.3223
26,0.9492,0.2975,0.3998
27,1.0083,0.2875,0.4132
28,1.2988,0.2993,0.3878
29,1.1002,0.4059,0.3554
30,0.8561,0.2983,0.3233
31,0.7872,0.2603,0.3254
32,0.8678,0.3136,0.3254
33,1.0327,0.3268,0.3573
34,0.8785,0.3281,0.352
35,0.943,0.3023,0.388
36,0.8604,0.2955,0.3382
37,0.7637,0.2457,0.3288
38,0.9499,0.3116,0.3863
39,0.8494,0.3091,0.3279
40,0.8289,0.2985,0.3307
41,1.0572,0.4891,0.3595
42,0.8602,0.3086,0.3307
43,0.857,0.2784,0.3336
44,0.7706,0.2489,0.3289
45,0.8398,0.2998,0.3325
46,0.7928,0.2428,0.3216
47,0.7789,0.2427,0.3255
48,0.7889,0.25,0.3186
49,1.1483,0.2649,0.3965
50,0.9429,0.3445,0.3439
51,0.8826,0.3201,0.3334
52,0.8779,0.3398,0.3303
53,0.8148,0.2619,0.3329
54,0.8661,0.2998,0.3253
55,0.9523,0.3149,0.3266
56,1.0878,0.4422,0.4191
57,0.9693,0.3472,0.4244
58,0.9188,0.2535,0.3436
59,0.95,0.4341,0.3205
