# mode=parallel
# characters=64
# workers=15
# batch=32
# warmup=120
# vsync=0
# resolution=800x600
# complete=1
# exit_loading=0
# pending_at_exit=0
frame,frame_ms,animation_ms,render_submit_ms
0,0.8175,0.2465,0.3528
1,0.7754,0.2551,0.3279
2,0.9802,0.2844,0.3331
3,1.0402,0.3001,0.4664
4,0.8489,0.31,0.3281
5,1.1416,0.5497,0.3296
6,1.0259,0.432,0.3411
7,1.0061,0.4797,0.324
8,1.0527,0.3653,0.3935
9,0.8046,0.2514,0.328
10,0.8384,0.3034,0.3278
11,0.9553,0.301,0.3947
12,1.1607,0.49,0.3987
13,0.8628,0.3032,0.3252
14,0.8038,0.259,0.3308
15,0.8557,0.2738,0.3327
16,1.0349,0.3053,0.3337
17,0.8541,0.3323,0.3289
18,0.8775,0.3126,0.3274
19,1.0804,0.3423,0.409
20,1.1698,0.5761,0.3288
21,0.7911,0.2678,0.3246
22,0.8322,0.2991,0.3282
23,0.8623,0.3159,0.3505
24,0.7976,0.2741,0.327
25,0.8926,0.3276,0.3252
26,1.0309,0.3619,0.3485
27,1.0183,0.2568,0.5088
28,0.8477,0.3096,0.3271
29,0.7765,0.2544,0.3259
30,0.7589,0.2494,0.3207
31,0.7752,0.2561,0.3281
32,0.7705,0.2532,0.3292
33,0.8789,0.3023,0.3761
34,0.9485,0.3105,0.4235
35,0.8493,0.3037,0.3316
36,0.8984,0.3638,0.3269
37,0.7778,0.2489,0.3233
38,0.8681,0.3376,0.3265
39,0.8659,0.3414,0.3264
40,0.8227,0.246,0.328
41,0.8237,0.2876,0.3292
42,0.7719,0.2437,0.3395
43,0.8478,0.3107,0.3282
44,0.8887,0.2743,0.41
45,0.7694,0.2421,0.3227
46,0.8312,0.3014,0.3282
47,0.8266,0.2884,0.3399
48,1.0155,0.2426,0.4451
49,1.0141,0.3241,0.365
50,1.0169,0.3259,0.3489
51,0.8535,0.318,0.3276
52,0.9441,0.2983,0.3932
53,1.0536,0.3026,0.3865
54,1.1812,0.5682,0.335
55,0.8903,0.3241,0.3464
56,0.9151,0.3135,0.3307
57,0.8392,0.3042,0.3324
58,0.7619,0.2441,0.324
59,0.9032,0.3824,0.3265
