# mode=parallel
# characters=64
# workers=15
# batch=32
# warmup=120
# vsync=0
# resolution=800x600
# complete=1
# exit_loading=0
# pending_at_exit=0
frame,frame_ms,animation_ms,render_submit_ms
0,1.0837,0.4503,0.3869
1,0.9477,0.3136,0.3864
2,0.8874,0.3413,0.3397
3,0.9316,0.3601,0.3409
4,0.9323,0.3627,0.3626
5,0.8714,0.3634,0.3176
6,0.8236,0.3135,0.3237
7,0.9759,0.4526,0.322
8,0.7818,0.2436,0.3168
9,0.8279,0.3004,0.3226
10,0.8212,0.3101,0.3227
11,0.8,0.2949,0.3183
12,0.8904,0.3881,0.3157
13,0.7934,0.2924,0.3167
14,0.845,0.3301,0.3178
15,0.9443,0.3091,0.3806
16,1.1575,0.4283,0.4443
17,0.9394,0.3769,0.3347
18,0.988,0.2921,0.4613
19,1.0954,0.2925,0.5611
20,0.9615,0.4195,0.3265
21,1.0147,0.4834,0.323
22,0.8807,0.2654,0.3798
23,0.8436,0.3122,0.3256
24,0.7506,0.2419,0.3198
25,0.833,0.3038,0.3248
26,0.8105,0.3005,0.3195
27,0.8129,0.3082,0.3189
28,0.8518,0.2973,0.322
29,0.9548,0.4331,0.3189
30,0.9315,0.2634,0.3889
31,0.941,0.2628,0.3626
32,0.9143,0.3605,0.3469
33,0.798,0.2933,0.3178
34,0.9209,0.3014,0.3802
35,0.9812,0.2944,0.4197
36,1.0258,0.4891,0.3224
37,0.9656,0.4458,0.3221
38,0.9795,0.4633,0.3241
39,0.8598,0.3255,0.3257
40,0.8309,0.3245,0.3183
41,0.8098,0.3074,0.317
42,0.9769,0.3063,0.3835
43,0.8614,0.2971,0.3591
44,0.9071,0.2545,0.3889
45,0.8549,0.3239,0.3233
46,0.9117,0.2909,0.3825
47,0.8976,0.2987,0.3768
48,0.8636,0.3488,0.324
49,0.8177,0.3006,0.3213
50,0.9752,0.3035,0.4199
51,1.0984,0.3894,0.3848
52,1.0208,0.3992,0.3776
53,0.8509,0.3231,0.3228
54,0.88,0.2581,0.3802
55,0.8978,0.2951,0.3789
56,0.8759,0.2993,0.3754
57,1.0257,0.3017,0.4175
58,1.0522,0.4207,0.3836
59,0.9861,0.4052,0.3287
