# mode=parallel
# characters=64
# workers=15
# batch=32
# warmup=120
# vsync=0
# resolution=800x600
# complete=1
# exit_loading=0
# pending_at_exit=0
frame,frame_ms,animation_ms,render_submit_ms
0,0.8924,0.3495,0.3325
1,1.0293,0.3279,0.3518
2,0.9934,0.2485,0.3895
3,1.1165,0.37,0.511
4,0.8479,0.305,0.331
5,0.7624,0.2441,0.3277
6,0.7584,0.2416,0.3299
7,0.9172,0.2402,0.3921
8,0.9406,0.3169,0.3834
9,0.8642,0.3104,0.3321
10,0.7971,0.2567,0.3308
11,0.9319,0.3087,0.3859
12,0.8409,0.2946,0.332
13,0.7571,0.2424,0.323
14,0.8426,0.3036,0.3291
15,1.106,0.3141,0.5063
16,0.9382,0.3123,0.3831
17,0.8775,0.2782,0.3329
18,0.9304,0.4007,0.324
19,0.7561,0.2442,0.3231
20,0.8851,0.2984,0.3843
21,0.8503,0.3187,0.3249
22,0.8674,0.2985,0.33
23,1.056,0.3916,0.3968
24,0.8921,0.2949,0.3773
25,0.795,0.2445,0.3272
26,0.7567,0.246,0.3227
27,0.7563,0.2445,0.326
28,0.748,0.2402,0.3227
29,0.7462,0.2407,0.3215
30,0.8937,0.3088,0.3793
31,0.8283,0.303,0.3229
32,0.8587,0.3007,0.353
33,0.8151,0.2527,0.3281
34,1.0677,0.3128,0.4531
35,0.8913,0.324,0.3284
36,0.926,0.3965,0.3238
37,0.8509,0.3076,0.3307
38,0.9001,0.309,0.3796
39,1.0401,0.4203,0.3721
40,0.9527,0.3095,0.391
41,0.9138,0.2992,0.3841
42,0.8391,0.3,0.3283
43,0.8577,0.3201,0.3421
44,0.929,0.3861,0.3252
45,0.9633,0.3333,0.4039
46,0.9635,0.4292,0.3281
47,0.7535,0.2441,0.321
48,0.7587,0.2435,0.3273
49,0.8155,0.3027,0.3239
50,0.824,0.3136,0.322
51,0.8081,0.2965,0.3251
52,1.1346,0.5042,0.3864
53,0.9689,0.4407,0.3234
54,0.9236,0.3854,0.3289
55,0.9795,0.4078,0.3611
56,0.8017,0.2445,0.3377
57,0.9054,0.2967,0.3847
58,0.8685,0.3343,0.3271
59,1.1169,0.3383,0.4422
