# mode=parallel
# characters=64
# workers=15
# batch=32
# warmup=120
# vsync=0
# resolution=800x600
# complete=1
# exit_loading=0
# pending_at_exit=0
frame,frame_ms,animation_ms,render_submit_ms
0,1.1758,0.353,0.552
1,1.4853,0.3742,0.6069
2,1.22,0.3451,0.5781
3,1.424,0.3392,0.6521
4,1.2079,0.3595,0.5634
5,1.3611,0.339,0.5762
6,1.4005,0.4382,0.5626
7,1.3877,0.3669,0.4802
8,1.4484,0.4858,0.6996
9,1.3148,0.4985,0.5601
10,1.3819,0.3357,0.5967
11,1.5925,0.4327,0.4922
12,0.9585,0.3458,0.3736
13,1.7069,0.3847,0.6789
14,1.5329,0.3534,0.5713
15,1.2163,0.3683,0.5439
16,1.1359,0.2776,0.6001
17,1.0982,0.3242,0.5162
18,1.3366,0.3397,0.5587
19,1.3264,0.3368,0.5783
20,1.5886,0.419,0.6265
21,1.2455,0.3872,0.5974
22,1.2617,0.3456,0.5321
23,1.437,0.4386,0.5229
24,1.9518,0.3407,0.5794
25,2.1576,0.3503,1.1683
26,1.377,0.3546,0.7518
27,1.1216,0.3321,0.5225
28,1.4243,0.4668,0.5066
29,1.604,0.332,0.5705
30,1.3141,0.3257,0.6021
31,1.032,0.4005,0.3556
32,1.3834,0.3877,0.5376
33,1.1654,0.3501,0.5399
34,1.373,0.4316,0.5498
35,1.47,0.4234,0.4221
36,1.2011,0.3635,0.3442
37,0.977,0.3873,0.3383
38,1.4542,0.3186,0.5639
39,1.3577,0.3639,0.626
40,1.2939,0.3802,0.5857
41,1.2373,0.3479,0.62
42,1.18,0.3503,0.5796
43,1.3356,0.3499,0.5836
44,1.2417,0.372,0.6013
45,1.2279,0.4211,0.5368
46,1.3513,0.3461,0.6631
47,1.3632,0.3474,0.5007
48,1.0152,0.353,0.4404
49,1.5368,0.354,0.5682
50,1.1848,0.3482,0.5308
51,1.2955,0.3662,0.6818
52,1.3782,0.3618,0.4821
53,1.4081,0.3261,0.4526
54,1.1376,0.3976,0.4059
55,0.986,0.3056,0.3628
56,1.6464,0.3563,0.69
57,1.2584,0.3101,0.5701
58,1.0869,0.2605,0.5641
59,1.1152,0.5237,0.3546
