# mode=parallel
# characters=64
# workers=15
# batch=32
# warmup=120
# vsync=0
# resolution=800x600
# complete=1
# exit_loading=0
# pending_at_exit=0
frame,frame_ms,animation_ms,render_submit_ms
0,1.1541,0.3452,0.5285
1,2.0167,1.0202,0.6708
2,1.2207,0.35,0.5877
3,1.4333,0.4982,0.3917
4,0.9786,0.3666,0.3526
5,1.2272,0.3405,0.4572
6,1.1001,0.2853,0.544
7,1.1484,0.3411,0.5506
8,1.1284,0.392,0.393
9,2.1582,0.4876,0.6044
10,1.6004,0.3207,0.5708
11,1.1713,0.3485,0.562
12,1.6387,0.5972,0.6419
13,1.1567,0.3258,0.4015
14,1.3436,0.3146,0.5921
15,1.2042,0.3459,0.4937
16,0.9449,0.341,0.3303
17,1.1711,0.4027,0.5004
18,1.2856,0.3536,0.54
19,1.2641,0.3528,0.5858
20,1.2082,0.3591,0.5788
21,1.4801,0.3634,0.5746
22,1.5077,0.357,0.8788
23,1.3287,0.3361,0.6374
24,1.5229,0.4279,0.4814
25,1.185,0.3137,0.51
26,1.4222,0.3324,0.5798
27,1.3999,0.5374,0.5894
28,1.5232,0.3359,0.5177
29,1.2675,0.3591,0.5602
30,0.9134,0.3323,0.3451
31,1.3448,0.4158,0.5771
32,1.4082,0.3656,0.674
33,1.8258,0.3295,0.5911
34,1.2709,0.4128,0.5789
35,1.5215,0.3792,0.5969
36,1.431,0.4988,0.655
37,1.4481,0.3118,0.4395
38,1.3732,0.4784,0.3845
39,1.7338,0.3407,0.3575
40,1.2475,0.3475,0.4673
41,1.1602,0.411,0.3538
42,1.0517,0.354,0.3721
43,0.9495,0.2712,0.441
44,1.5105,0.4286,0.5319
45,1.314,0.3567,0.5779
46,1.4614,0.343,0.6933
47,1.8202,0.3528,0.56
48,1.155,0.3358,0.5449
49,1.2351,0.3326,0.6121
50,1.1325,0.3403,0.5053
51,1.8614,0.5364,0.5957
52,1.288,0.3753,0.5615
53,1.265,0.4286,0.5773
54,1.3031,0.377,0.5226
55,1.7477,0.2694,0.5101
56,1.265,0.3385,0.6222
57,1.1835,0.3198,0.5692
58,1.1996,0.3468,0.5486
59,1.4412,0.4376,0.5991
