# mode=parallel
# characters=64
# workers=15
# batch=32
# warmup=120
# vsync=0
# resolution=800x600
# complete=1
# exit_loading=0
# pending_at_exit=0
frame,frame_ms,animation_ms,render_submit_ms
0,1.4396,0.3729,0.6787
1,1.3886,0.3333,0.4589
2,1.4491,0.3406,0.5943
3,1.2105,0.363,0.545
4,1.1249,0.3485,0.4171
5,1.1878,0.4026,0.4815
6,1.2852,0.3717,0.4916
7,1.4011,0.439,0.5639
8,1.2965,0.345,0.5206
9,1.1223,0.3246,0.5357
10,1.3017,0.3786,0.5881
11,1.4619,0.3763,0.5669
12,0.9795,0.3698,0.3575
13,1.2551,0.3529,0.6393
14,1.283,0.3446,0.5637
15,1.6036,0.3358,0.6759
16,1.1337,0.3339,0.5265
17,1.2066,0.3509,0.52
18,1.586,0.3504,0.5888
19,1.641,0.4611,0.5855
20,1.1877,0.3785,0.5554
21,1.2646,0.41,0.5809
22,1.2476,0.3753,0.5929
23,1.4424,0.344,0.5844
24,1.3416,0.3399,0.5589
25,1.1658,0.336,0.5683
26,1.5829,0.3683,0.4609
27,1.34,0.5117,0.5429
28,1.3054,0.3522,0.6639
29,1.2515,0.3472,0.5479
30,1.8993,0.4474,0.7022
31,0.9983,0.4514,0.3329
32,0.9145,0.3351,0.3519
33,1.2149,0.3454,0.5828
34,1.1915,0.3687,0.5244
35,1.1697,0.338,0.5714
36,1.9269,0.4161,1.16
37,1.1109,0.3617,0.476
38,1.7937,0.3943,0.493
39,1.5615,0.2902,0.3701
40,1.5595,0.3499,0.6639
41,1.2512,0.3399,0.5642
42,1.2943,0.3646,0.5891
43,1.2547,0.3719,0.4756
44,1.1793,0.3331,0.5863
45,1.7653,0.3382,0.7995
46,1.0321,0.334,0.4029
47,1.4832,0.418,0.5878
48,1.2304,0.3317,0.4411
49,1.2373,0.3973,0.5613
50,1.3299,0.349,0.5809
51,1.4746,0.3971,0.6272
52,2.1993,0.4424,0.6087
53,1.4596,0.3742,0.7464
54,1.2165,0.3351,0.5895
55,1.6356,0.3579,0.5828
56,1.1223,0.3378,0.5159
57,1.4617,0.3276,0.5642
58,1.361,0.3473,0.4936
59,1.3493,0.3357,0.508
