# mode=parallel
# characters=64
# workers=15
# batch=32
# warmup=120
# vsync=0
# resolution=800x600
# complete=1
# exit_loading=0
# pending_at_exit=0
frame,frame_ms,animation_ms,render_submit_ms
0,0.8429,0.2376,0.3461
1,1.1755,0.4631,0.3987
2,0.8858,0.3249,0.3297
3,0.8576,0.3038,0.3279
4,1.0078,0.3201,0.327
5,0.8602,0.3193,0.3269
6,0.8179,0.2931,0.3242
7,0.9504,0.437,0.3223
8,0.7861,0.253,0.3377
9,0.8198,0.3027,0.3225
10,1.0068,0.3678,0.3869
11,0.913,0.2976,0.3858
12,0.955,0.2921,0.4063
13,0.8131,0.2636,0.3303
14,1.1092,0.3125,0.5092
15,0.9619,0.3389,0.3601
16,1.3214,0.2552,0.3383
17,0.7868,0.2634,0.3252
18,0.8165,0.3008,0.3244
19,0.8317,0.3195,0.3225
20,0.8065,0.2942,0.3232
21,1.052,0.4181,0.3876
22,1.185,0.4182,0.4964
23,0.8987,0.3598,0.3241
24,0.8406,0.3009,0.3442
25,0.8403,0.2972,0.3352
26,1.0072,0.3029,0.4706
27,0.9416,0.3514,0.3281
28,1.0107,0.2716,0.3328
29,0.8246,0.3028,0.3244
30,0.9545,0.3156,0.3899
31,0.9759,0.4253,0.3379
32,0.8597,0.3279,0.3394
33,0.8399,0.2958,0.3277
34,0.8377,0.2894,0.3408
35,0.9745,0.4452,0.337
36,1.033,0.3006,0.4573
37,0.8709,0.2941,0.3626
38,0.7572,0.2412,0.3226
39,0.8755,0.322,0.3274
40,0.9965,0.3515,0.3809
41,0.8388,0.3056,0.3416
42,1.0281,0.4225,0.406
43,0.9143,0.3069,0.4138
44,0.9495,0.3051,0.3933
45,0.9131,0.3013,0.3809
46,0.8559,0.3118,0.336
47,0.9543,0.3185,0.3917
48,0.911,0.298,0.3863
49,0.9998,0.4223,0.3467
50,0.9426,0.3083,0.3811
51,0.8877,0.3036,0.3265
52,0.8731,0.3582,0.3245
53,0.9074,0.3935,0.3215
54,0.8232,0.3128,0.3222
55,0.8078,0.2993,0.3221
56,0.9779,0.4564,0.3215
57,0.8802,0.3634,0.3221
58,0.9828,0.3966,0.3225
59,0.9006,0.3758,0.3241
