# mode=parallel
# characters=64
# workers=15
# batch=32
# warmup=120
# vsync=0
# resolution=800x600
# complete=1
# exit_loading=0
# pending_at_exit=0
frame,frame_ms,animation_ms,render_submit_ms
0,1.027,0.4186,0.3333
1,1.1354,0.3304,0.5409
2,1.2129,0.3403,0.5441
3,1.2296,0.3414,0.5931
4,1.183,0.3287,0.4478
5,1.1972,0.3585,0.4289
6,1.3126,0.3699,0.6488
7,1.2534,0.2997,0.5605
8,1.123,0.3147,0.5428
9,1.5524,0.3264,0.4756
10,1.6463,0.3389,0.596
11,1.1781,0.3531,0.5627
12,1.0093,0.3578,0.4256
13,1.2577,0.4136,0.565
14,1.3694,0.3347,0.5845
15,1.3163,0.4523,0.5919
16,1.0019,0.3227,0.4083
17,1.1586,0.3287,0.5106
18,1.2768,0.3565,0.6225
19,2.0542,0.3392,0.5205
20,1.3302,0.3404,0.5675
21,1.1243,0.359,0.4119
22,1.2322,0.406,0.361
23,1.0822,0.3192,0.4472
24,1.4084,0.3718,0.5607
25,0.9316,0.3532,0.3426
26,1.1656,0.3565,0.3616
27,1.3751,0.3407,0.4807
28,1.175,0.3324,0.4834
29,1.2118,0.3474,0.6017
30,1.1847,0.346,0.5741
31,1.0879,0.3465,0.4682
32,1.0378,0.327,0.4622
33,1.1505,0.333,0.3341
34,1.1921,0.3549,0.5712
35,1.0484,0.3418,0.3986
36,1.3011,0.2604,0.3369
37,1.2161,0.4368,0.5069
38,1.3664,0.4309,0.5836
39,1.2866,0.3652,0.5308
40,1.158,0.3594,0.3875
41,1.3231,0.3593,0.5877
42,1.1719,0.3485,0.5492
43,1.2851,0.4115,0.3492
44,1.6287,0.3746,0.4754
45,1.3095,0.3683,0.5481
46,1.2679,0.3571,0.5664
47,1.2045,0.4262,0.5134
48,0.9147,0.3537,0.3348
49,1.0445,0.3484,0.3423
50,1.1187,0.2964,0.5192
51,1.4265,0.3807,0.5894
52,1.3255,0.3501,0.5812
53,1.312,0.4296,0.5463
54,1.3356,0.3455,0.4336
55,1.4913,0.366,0.8624
56,1.1228,0.3671,0.3662
57,1.1363,0.4282,0.4285
58,1.176,0.3328,0.4184
59,1.322,0.3488,0.4575
