# mode=parallel
# characters=64
# workers=15
# batch=32
# warmup=120
# vsync=0
# resolution=800x600
# complete=1
# exit_loading=0
# pending_at_exit=0
frame,frame_ms,animation_ms,render_submit_ms
0,0.9811,0.3458,0.3775
1,1.1714,0.4533,0.3724
2,1.1077,0.2908,0.5352
3,1.1449,0.371,0.5075
4,1.2534,0.3435,0.5338
5,1.1649,0.3907,0.5032
6,1.6175,0.3971,0.5114
7,1.2233,0.4557,0.346
8,1.2618,0.3869,0.5862
9,1.4265,0.3394,0.4784
10,1.4694,0.3392,0.5645
11,1.3692,0.3495,0.555
12,1.2887,0.3942,0.5135
13,1.3037,0.6784,0.3733
14,1.8591,0.4236,0.5568
15,1.0953,0.3145,0.5291
16,1.2185,0.3548,0.5963
17,1.2653,0.3249,0.5795
18,1.4696,0.3765,0.5618
19,1.1718,0.3581,0.5484
20,1.431,0.37,0.5972
21,1.0888,0.3641,0.4351
22,1.1614,0.3326,0.5607
23,1.6022,0.3646,0.5724
24,1.2195,0.3431,0.4885
25,1.0302,0.334,0.4387
26,1.1126,0.3776,0.4757
27,1.0307,0.2981,0.3934
28,1.1048,0.3491,0.4139
29,1.5894,0.3041,0.5311
30,1.2429,0.3537,0.6185
31,1.1921,0.3294,0.4311
32,1.3442,0.3656,0.7213
33,1.3211,0.3801,0.586
34,1.9715,0.379,0.7611
35,1.335,0.4492,0.6048
36,1.3484,0.3511,0.5422
37,1.3214,0.3795,0.6769
38,1.4898,0.4513,0.5079
39,1.7812,0.325,0.6386
40,1.2584,0.4111,0.5709
41,1.1793,0.3406,0.4068
42,1.3206,0.3994,0.5458
43,1.5117,0.4735,0.5555
44,1.2179,0.3659,0.5884
45,1.2831,0.3908,0.5038
46,1.2965,0.3539,0.5628
47,1.1697,0.368,0.4929
48,1.2536,0.3463,0.4744
49,1.1888,0.347,0.5713
50,1.745,0.3901,0.6877
51,1.509,0.5681,0.5687
52,1.3935,0.3975,0.5948
53,0.8699,0.3041,0.342
54,1.285,0.2823,0.5575
55,1.2418,0.3515,0.5382
56,1.7224,0.3616,0.5806
57,1.3519,0.488,0.5978
58,1.1668,0.3275,0.5806
59,1.0155,0.3241,0.4283
