# mode=parallel
# characters=64
# workers=15
# batch=32
# warmup=120
# vsync=0
# resolution=800x600
# complete=1
# exit_loading=0
# pending_at_exit=0
frame,frame_ms,animation_ms,render_submit_ms
0,0.8583,0.3277,0.326
1,1.0607,0.382,0.3919
2,1.4301,0.3094,0.6106
3,0.971,0.3015,0.3223
4,1.4193,0.3921,0.3619
5,0.9876,0.3257,0.3256
6,0.821,0.2986,0.3214
7,0.8156,0.3077,0.3197
8,0.8023,0.2901,0.3203
9,0.8061,0.2993,0.32
10,1.0564,0.446,0.3386
11,1.2835,0.3217,0.4318
12,0.895,0.3033,0.325
13,1.0781,0.3016,0.3254
14,0.8382,0.3131,0.3207
15,1.2848,0.3041,0.3247
16,1.2799,0.313,0.3266
17,1.1672,0.4961,0.3719
18,0.9391,0.2562,0.3228
19,0.8868,0.3026,0.3317
20,1.0311,0.2885,0.3627
21,0.8819,0.2872,0.3444
22,1.1707,0.2971,0.5115
23,1.144,0.292,0.3254
24,1.0907,0.2408,0.3234
25,0.8502,0.2993,0.3401
26,0.9424,0.3006,0.3416
27,0.9258,0.3057,0.3288
28,1.0776,0.2988,0.3206
29,1.1193,0.3766,0.386
30,1.0597,0.3368,0.4081
31,0.961,0.2995,0.4582
32,1.0334,0.2657,0.3687
33,1.0093,0.2945,0.3924
34,1.3653,0.2763,0.3917
35,1.2376,0.3327,0.3237
36,1.1182,0.3529,0.324
37,0.8393,0.2375,0.3533
38,0.8841,0.31,0.3338
39,0.8644,0.2999,0.3224
40,0.8728,0.3105,0.3329
41,1.2975,0.3068,0.3876
42,0.927,0.298,0.3212
43,1.0032,0.3089,0.3284
44,0.9815,0.3963,0.3244
45,1.0591,0.3049,0.3278
46,0.9748,0.3761,0.3272
47,1.0372,0.2498,0.3362
48,1.1619,0.2632,0.4145
49,0.8992,0.3077,0.3237
50,0.8626,0.3025,0.3196
51,0.9258,0.2992,0.3391
52,1.1705,0.2972,0.3567
53,0.9065,0.3174,0.3224
54,1.025,0.3057,0.3226
55,0.9391,0.306,0.3236
56,1.078,0.2479,0.3281
57,0.9165,0.3352,0.3193
58,1.0286,0.401,0.318
59,1.0192,0.3548,0.4035
