# mode=parallel
# characters=64
# workers=15
# batch=32
# warmup=120
# vsync=0
# resolution=800x600
# complete=1
# exit_loading=0
# pending_at_exit=0
frame,frame_ms,animation_ms,render_submit_ms
0,1.5675,0.3528,0.5641
1,2.0943,0.3284,0.6565
2,1.5791,0.3824,0.5144
3,1.6826,0.3529,0.4301
4,1.817,0.3519,0.9749
5,1.8688,0.3782,0.6111
6,1.6807,0.3493,0.5114
7,2.3132,0.3558,0.5285
8,2.8945,0.3587,0.613
9,1.764,0.3721,0.5462
10,2.9497,0.4128,0.5668
11,3.5524,0.4384,0.6003
12,2.1704,0.4088,0.8087
13,2.206,0.4421,0.6203
14,2.8608,0.3684,0.5704
15,2.0765,0.4123,0.7224
16,1.7625,0.3398,0.5917
17,2.9076,0.3424,0.6447
18,1.6621,0.4032,0.6321
19,2.4538,0.4307,0.6199
20,2.1079,0.3476,0.6214
21,2.6397,0.3397,0.7024
22,1.8095,0.5232,0.6129
23,2.7581,0.3295,0.6017
24,2.1387,0.3393,0.5962
25,2.9376,0.3473,0.6845
26,2.2129,0.3378,0.6121
27,1.4435,0.4105,0.6337
28,1.1784,0.3689,0.5409
29,1.8723,0.3397,0.7824
30,2.5176,0.3905,0.6916
31,2.6734,0.4877,0.6319
32,2.6389,0.3369,0.6785
33,1.8119,0.42,0.6442
34,1.9071,0.3844,0.5757
35,1.6736,0.3925,0.6339
36,2.3058,0.598,0.7191
37,2.7114,0.3575,0.551
38,1.817,0.3393,0.5623
39,2.3159,0.3586,0.5298
40,2.5752,0.3443,0.5958
41,1.4971,0.3478,0.6023
42,1.3105,0.3945,0.5683
43,1.9943,0.508,0.5958
44,1.9317,0.3436,0.5938
45,1.7906,0.3172,0.5825
46,2.2623,0.3332,0.543
47,1.2317,0.338,0.5147
48,1.5962,0.3338,0.6382
49,1.2265,0.3603,0.597
50,1.4159,0.3502,0.6515
51,1.5101,0.5007,0.6016
52,1.2846,0.4542,0.5047
53,1.188,0.3328,0.5834
54,1.4912,0.3823,0.5982
55,1.551,0.3998,0.7058
56,1.4084,0.411,0.5778
57,1.2394,0.3191,0.5691
58,1.2649,0.3428,0.5402
59,1.633,0.3603,0.6336
