# mode=parallel
# characters=64
# workers=15
# batch=32
# warmup=120
# vsync=0
# resolution=800x600
# complete=1
# exit_loading=0
# pending_at_exit=0
frame,frame_ms,animation_ms,render_submit_ms
0,1.1465,0.2784,0.3265
1,0.8017,0.2442,0.3237
2,0.8582,0.3047,0.3386
3,0.9843,0.3907,0.3227
4,0.8276,0.3171,0.32
5,0.9216,0.2763,0.3991
6,0.9237,0.2949,0.3816
7,0.9977,0.3089,0.3226
8,1.3525,0.4021,0.332
9,0.859,0.3257,0.3248
10,0.8302,0.308,0.3223
11,0.8119,0.3008,0.3205
12,1.1841,0.3076,0.3258
13,1.3664,0.3708,0.3359
14,0.7864,0.2562,0.326
15,0.8306,0.3039,0.3201
16,0.9606,0.3039,0.3261
17,0.8834,0.2426,0.3241
18,0.8173,0.2998,0.3234
19,0.9045,0.3038,0.3918
20,1.0977,0.4578,0.3882
21,0.948,0.3169,0.3879
22,0.8651,0.2973,0.3659
23,0.906,0.3602,0.3212
24,1.0341,0.3642,0.3847
25,1.0307,0.4089,0.3286
26,0.9147,0.3052,0.3849
27,1.0428,0.4638,0.3197
28,0.9443,0.4296,0.3197
29,0.8241,0.3038,0.3209
30,0.8578,0.351,0.3182
31,0.8692,0.3579,0.3232
32,0.8019,0.2979,0.3182
33,0.9254,0.4091,0.3193
34,0.9318,0.3043,0.3856
35,0.8821,0.2986,0.3753
36,0.8806,0.3528,0.3233
37,0.7448,0.2401,0.319
38,1.2037,0.4129,0.3896
39,0.8441,0.3208,0.321
40,1.3315,0.5165,0.3992
41,0.9097,0.2994,0.3844
42,0.792,0.2573,0.326
43,0.7512,0.246,0.3178
44,0.7503,0.2417,0.3232
45,0.9165,0.3634,0.324
46,0.8477,0.306,0.3454
47,0.9897,0.3004,0.3234
48,1.1253,0.3766,0.3638
49,0.8394,0.2962,0.3261
50,0.8403,0.3096,0.3385
51,0.9792,0.3452,0.3862
52,1.2444,0.3086,0.3914
53,0.9697,0.3162,0.415
54,0.8567,0.2954,0.3563
55,1.0458,0.3175,0.3248
56,0.8347,0.3145,0.323
57,0.8492,0.3273,0.3273
58,0.9022,0.3741,0.3374
59,1.0919,0.293,0.3884
