# mode=parallel
# characters=64
# workers=15
# batch=32
# warmup=120
# vsync=0
# resolution=800x600
# complete=1
# exit_loading=0
# pending_at_exit=0
frame,frame_ms,animation_ms,render_submit_ms
0,0.9785,0.3409,0.3825
1,0.8965,0.3691,0.323
2,0.8702,0.3019,0.3725
3,0.8795,0.3704,0.3186
4,1.028,0.5188,0.3173
5,0.8031,0.2969,0.3199
6,0.9151,0.294,0.3814
7,0.8243,0.3039,0.3231
8,0.8078,0.2994,0.3209
9,0.8449,0.3391,0.319
10,0.8761,0.3598,0.324
11,0.8284,0.3124,0.3297
12,0.8413,0.3107,0.3184
13,0.8094,0.302,0.3201
14,0.8608,0.3553,0.3189
15,0.8637,0.3581,0.3182
16,0.8637,0.3592,0.3174
17,0.8039,0.301,0.3183
18,0.9796,0.3118,0.3951
19,1.1668,0.5477,0.3992
20,1.0467,0.2986,0.5071
21,0.9044,0.3267,0.3261
22,0.8175,0.2897,0.3385
23,0.8299,0.3077,0.336
24,0.8156,0.2863,0.3268
25,0.8164,0.2984,0.3324
26,0.8222,0.2951,0.3226
27,0.9559,0.3159,0.3903
28,0.9251,0.3487,0.35
29,0.9258,0.3048,0.3801
30,0.8786,0.3142,0.3586
31,0.8058,0.2983,0.321
32,0.8121,0.3021,0.323
33,0.8188,0.3091,0.3224
34,0.8181,0.3055,0.3245
35,1.0472,0.4201,0.3805
36,0.8409,0.2945,0.3401
37,0.9167,0.3113,0.3517
38,0.856,0.3044,0.3434
39,0.7966,0.2889,0.3195
40,0.8088,0.2995,0.3211
41,0.9349,0.4273,0.3181
42,0.9279,0.3005,0.383
43,0.9007,0.2963,0.3789
44,0.8373,0.2988,0.3362
45,0.8183,0.3065,0.3238
46,0.9494,0.2958,0.3213
47,0.8196,0.2998,0.3235
48,0.7707,0.2599,0.3209
49,0.931,0.422,0.3194
50,0.8857,0.3027,0.3231
51,1.3002,0.3818,0.3342
52,0.8131,0.2896,0.3293
53,0.7952,0.2882,0.3186
54,1.0246,0.3666,0.3897
55,0.8452,0.3122,0.3276
56,1.1075,0.3128,0.3293
57,0.9377,0.3329,0.336
58,0.8441,0.2994,0.3337
59,0.9844,0.2992,0.3226
