# mode=parallel
# characters=64
# workers=15
# batch=32
# warmup=120
# vsync=0
# resolution=800x600
# complete=1
# exit_loading=0
# pending_at_exit=0
frame,frame_ms,animation_ms,render_submit_ms
0,1.0022,0.3441,0.3913
1,0.8619,0.3085,0.338
2,0.8503,0.3074,0.3319
3,0.8656,0.3022,0.3422
4,1.0063,0.3073,0.3352
5,0.8193,0.2999,0.3294
6,0.976,0.4328,0.3321
7,0.9768,0.4038,0.3268
8,0.9324,0.3038,0.3256
9,0.8278,0.2971,0.3349
10,0.8249,0.3013,0.3181
11,0.8109,0.286,0.3377
12,0.8437,0.3006,0.3494
13,0.9643,0.3062,0.3336
14,1.0989,0.3611,0.3749
15,0.8454,0.2613,0.3585
16,0.8681,0.2568,0.374
17,0.8937,0.2725,0.3265
18,0.7689,0.2542,0.3207
19,0.7524,0.244,0.3184
20,0.7984,0.2404,0.3551
21,0.8213,0.2967,0.3254
22,0.9682,0.3037,0.3862
23,0.7794,0.2655,0.3212
24,0.7695,0.2496,0.3273
25,0.7615,0.2466,0.3261
26,0.8026,0.2456,0.3545
27,0.8279,0.3069,0.322
28,0.8866,0.2564,0.3837
29,1.0282,0.2963,0.3793
30,1.0142,0.3064,0.3864
31,0.7655,0.2461,0.3215
32,1.127,0.2986,0.3296
33,0.8005,0.2606,0.326
34,0.8185,0.3047,0.3228
35,0.8193,0.3089,0.3194
36,0.7966,0.2638,0.3432
37,0.9476,0.2709,0.3856
38,0.9741,0.3346,0.3853
39,0.9721,0.324,0.3894
40,0.8918,0.3272,0.3293
41,0.83,0.3065,0.3258
42,0.9586,0.4308,0.3255
43,0.9048,0.3198,0.3564
44,1.0471,0.289,0.5231
45,0.9062,0.2404,0.3276
46,0.843,0.2585,0.3302
47,0.8225,0.2957,0.3225
48,0.8368,0.2452,0.3225
49,1.1097,0.355,0.4789
50,0.9478,0.3064,0.3827
51,0.9291,0.3943,0.3243
52,0.834,0.3073,0.3227
53,0.8382,0.241,0.3736
54,1.0274,0.3777,0.3961
55,1.0213,0.3935,0.3936
56,0.8458,0.2474,0.3483
57,1.0137,0.3186,0.3905
58,1.1591,0.5795,0.3511
59,0.9434,0.3604,0.3215
