# mode=parallel
# characters=64
# workers=15
# batch=32
# warmup=120
# vsync=0
# resolution=800x600
# complete=1
# exit_loading=0
# pending_at_exit=0
frame,frame_ms,animation_ms,render_submit_ms
0,1.5476,0.4065,0.5778
1,1.6178,0.3208,0.4723
2,1.1285,0.3934,0.4113
3,2.0876,0.439,0.3602
4,1.1371,0.343,0.3793
5,0.9027,0.3343,0.3415
6,1.9545,0.3458,0.5836
7,1.6822,0.3953,0.8233
8,1.1546,0.3274,0.3343
9,1.13,0.2586,0.3435
10,1.2034,0.3269,0.4944
11,1.6238,0.3895,0.3358
12,1.3613,0.3637,0.513
13,1.6899,0.3394,0.6761
14,1.1318,0.3337,0.4369
15,0.9506,0.3548,0.3489
16,1.9402,0.3517,0.5582
17,1.6962,0.3258,0.587
18,1.1625,0.3138,0.5902
19,1.5546,0.34,0.3595
20,1.3156,0.3408,0.3442
21,1.2491,0.2838,0.3498
22,1.5122,0.3976,0.7564
23,1.3907,0.4658,0.4892
24,1.2948,0.3448,0.3535
25,2.0065,0.3397,0.5035
26,1.1816,0.3361,0.5678
27,2.2226,0.3355,0.5819
28,1.3452,0.3838,0.5904
29,1.5696,0.3276,0.5798
30,1.6811,0.3322,0.7116
31,2.2256,0.3394,0.5634
32,1.5386,0.3645,0.5975
33,2.2009,0.3295,0.5856
34,1.8173,0.4741,0.6109
35,2.3954,0.42,0.6079
36,1.6978,0.3478,0.6024
37,2.0561,0.4199,0.5588
38,2.3041,0.3471,0.4728
39,2.0856,0.4006,0.8049
40,1.34,0.391,0.678
41,2.4628,0.3351,0.5594
42,1.3448,0.3558,0.6337
43,1.4418,0.4176,0.767
44,2.2854,0.4056,0.721
45,1.7363,0.3427,0.5442
46,1.8811,0.3225,0.6732
47,1.5252,0.3817,0.7114
48,1.6677,0.36,0.6407
49,2.2011,0.3831,0.5806
50,1.6638,0.3474,0.5436
51,1.9783,0.3717,0.5726
52,1.6077,0.3289,0.6187
53,1.6555,0.3535,0.5736
54,1.4172,0.3833,0.5171
55,1.9708,0.3807,0.5622
56,2.1515,0.345,0.6027
57,1.2134,0.3275,0.6099
58,1.9905,0.5341,0.6326
59,1.8284,0.4367,0.5774
