# mode=parallel
# characters=64
# workers=15
# batch=32
# warmup=120
# vsync=0
# resolution=800x600
# complete=1
# exit_loading=0
# pending_at_exit=0
frame,frame_ms,animation_ms,render_submit_ms
0,0.7834,0.2433,0.3344
1,1.0985,0.3155,0.4396
2,0.9461,0.3401,0.3444
3,0.8521,0.2999,0.3451
4,0.984,0.443,0.3404
5,0.9602,0.4131,0.342
6,0.8882,0.3205,0.3556
7,0.8532,0.2538,0.3471
8,0.8563,0.322,0.3382
9,0.9863,0.378,0.3799
10,0.797,0.2507,0.3438
11,0.8539,0.3222,0.3406
12,0.7771,0.2489,0.3407
13,0.9951,0.324,0.4507
14,0.7901,0.2631,0.3364
15,0.8798,0.2973,0.3394
16,0.8443,0.3021,0.3378
17,0.8841,0.3005,0.3375
18,0.8885,0.3297,0.345
19,0.9883,0.4436,0.342
20,0.955,0.3814,0.3436
21,0.7957,0.2655,0.337
22,0.786,0.2625,0.3359
23,0.9519,0.2545,0.3425
24,0.8577,0.2872,0.356
25,0.9541,0.2629,0.3545
26,0.8437,0.3013,0.3374
27,0.851,0.3,0.3467
28,0.8459,0.314,0.3411
29,0.9872,0.3861,0.3586
30,0.9683,0.3027,0.4144
31,1.0938,0.3004,0.3859
32,0.8704,0.315,0.3466
33,0.8547,0.3192,0.3391
34,1.0161,0.3177,0.4537
35,0.8746,0.3308,0.3408
36,0.8658,0.3103,0.3446
37,0.8377,0.2641,0.3457
38,0.9071,0.2416,0.3448
39,0.9721,0.305,0.342
40,0.8061,0.2743,0.34
41,0.9596,0.3004,0.3402
42,0.8929,0.3029,0.3407
43,0.9788,0.2919,0.3378
44,0.9112,0.3017,0.3371
45,0.8892,0.27,0.4201
46,0.8421,0.3043,0.347
47,0.8483,0.3039,0.3375
48,0.837,0.2985,0.3393
49,0.8562,0.3106,0.3554
50,0.8344,0.2413,0.3371
51,1.0992,0.4409,0.3398
52,1.0593,0.3016,0.3796
53,0.845,0.2945,0.3444
54,0.8507,0.3182,0.3369
55,0.8397,0.3138,0.3361
56,0.7589,0.2395,0.3336
57,0.8021,0.253,0.344
58,0.7713,0.2411,0.336
59,0.8087,0.2414,0.3706
