# mode=parallel
# characters=64
# workers=15
# batch=32
# warmup=120
# vsync=0
# resolution=800x600
# complete=1
# exit_loading=0
# pending_at_exit=0
frame,frame_ms,animation_ms,render_submit_ms
0,0.7925,0.268,0.3343
1,0.8355,0.2962,0.329
2,0.8527,0.3236,0.3267
3,0.8647,0.324,0.3312
4,0.8315,0.3072,0.3257
5,0.9728,0.4451,0.3249
6,0.8534,0.26,0.3327
7,0.9506,0.4164,0.3271
8,0.8089,0.2977,0.3221
9,0.8164,0.3077,0.3221
10,0.8033,0.2954,0.3216
11,0.8248,0.3089,0.3295
12,0.8588,0.2959,0.3238
13,0.8521,0.2989,0.3269
14,0.8507,0.3205,0.3314
15,0.823,0.3007,0.3273
16,0.8337,0.2906,0.3296
17,0.8767,0.3399,0.322
18,1.6248,0.379,0.6939
19,1.1011,0.2539,0.393
20,0.9774,0.3548,0.3861
21,0.9929,0.3155,0.3346
22,0.7977,0.2632,0.3298
23,0.8176,0.3009,0.324
24,0.8927,0.3825,0.3224
25,0.9312,0.3029,0.3873
26,0.8456,0.3054,0.3252
27,0.9076,0.3218,0.3301
28,0.9284,0.3656,0.3261
29,0.818,0.3027,0.3272
30,0.8176,0.3069,0.3229
31,0.8863,0.3736,0.3241
32,0.9663,0.2949,0.4452
33,0.9123,0.2961,0.3845
34,0.8513,0.3155,0.3305
35,1.1755,0.2783,0.5499
36,0.8317,0.3033,0.3277
37,0.9291,0.2941,0.389
38,0.8415,0.3135,0.3251
39,0.8317,0.3087,0.3241
40,0.9282,0.364,0.3258
41,0.9606,0.2988,0.3984
42,0.8538,0.3138,0.3326
43,0.8231,0.3068,0.3249
44,0.9021,0.3924,0.3214
45,0.878,0.3666,0.3231
46,0.884,0.3744,0.3234
47,1.272,0.3917,0.3892
48,0.9096,0.2963,0.3836
49,0.9843,0.4127,0.3284
50,0.8824,0.3637,0.324
51,0.854,0.3429,0.3233
52,0.821,0.3068,0.3264
53,0.9373,0.3006,0.3889
54,0.8872,0.2978,0.3727
55,1.0905,0.3014,0.5309
56,1.0911,0.4012,0.3362
57,0.8834,0.2559,0.3439
58,0.8347,0.303,0.3268
59,0.8223,0.3088,0.3229
