# mode=parallel
# characters=512
# workers=15
# batch=32
# warmup=120
# vsync=0
# resolution=800x600
# complete=1
# exit_loading=0
# pending_at_exit=0
frame,frame_ms,animation_ms,render_submit_ms
0,5.7247,0.6709,4.8111
1,5.3751,0.6704,4.4782
2,5.1832,0.4748,4.4888
3,5.8279,0.6966,4.7242
4,5.4766,0.7264,4.5263
5,5.4871,0.7519,4.512
6,5.3933,0.7152,4.4617
7,5.9146,0.6189,4.9213
8,6.1118,0.7538,5.0913
9,6.2914,0.6487,5.3953
10,6.0527,0.61,4.734
11,6.7468,0.6784,5.4554
12,5.7897,0.6695,4.4451
13,5.7142,0.64,4.5084
14,6.4903,0.6811,4.8392
15,6.3843,0.7189,4.6845
16,5.8378,0.6412,4.4863
17,6.8068,0.7021,5.0789
18,5.8711,0.6863,4.5247
19,6.0286,0.794,4.5497
20,7.4633,0.7571,5.0191
21,5.6998,0.662,4.5487
22,6.1064,0.8151,4.7752
23,6.3411,0.7803,4.7512
24,5.8052,0.7936,4.7664
25,6.1968,0.7441,5.1504
26,5.9486,0.712,4.9262
27,6.8369,0.6868,5.2413
28,6.8734,0.7161,5.8837
29,5.7028,0.6595,4.7218
30,6.5254,0.7465,4.9041
31,6.4199,0.6873,5.3182
32,7.0818,0.5203,5.7113
33,6.0265,0.5416,4.7503
34,6.2252,0.5243,5.0528
35,5.6906,0.5473,4.4845
36,6.0075,0.5214,5.1993
37,6.0559,0.5188,5.0764
38,6.0362,0.6242,4.8147
39,5.802,0.5271,5.0157
40,5.8922,0.4589,5.2131
41,5.3019,0.6382,4.4298
42,5.7795,0.7486,4.7763
43,5.8152,0.7599,4.7197
44,5.2719,0.5889,4.4731
45,5.2276,0.5209,4.4411
46,6.052,0.6913,5.1372
47,5.5663,0.5128,4.8126
48,5.2578,0.4934,4.5352
49,5.6827,0.7113,4.7403
50,5.6947,0.7024,4.725
51,5.8471,0.5647,5.0579
52,5.5675,0.5312,4.7397
53,5.222,0.5293,4.4759
54,5.7238,0.5138,4.9716
55,5.626,0.7161,4.654
56,5.88,0.7632,4.8394
57,6.1486,0.8422,4.9574
58,5.6919,0.7382,4.5653
59,6.1353,0.7374,5.1425
60,5.7018,0.7635,4.6957
61,5.4091,0.6642,4.5219
62,5.4281,0.6862,4.5192
63,5.5161,0.7545,4.5502
64,6.1278,0.6793,5.0033
65,5.4193,0.6658,4.5135
66,5.5215,0.7456,4.5317
67,5.3805,0.6421,4.5202
68,5.4485,0.7587,4.482
69,5.688,0.6902,4.7845
70,5.5816,0.7371,4.6274
71,5.4799,0.7072,4.5578
72,5.3796,0.6955,4.4689
73,5.7515,0.753,4.7537
74,5.7816,0.7395,4.7313
75,5.7525,0.6444,4.8184
76,6.1567,0.6498,5.264
77,5.6812,0.7171,4.7141
78,5.8048,0.7008,4.8448
79,6.0555,0.6146,5.2189
80,6.2539,0.7287,5.2559
81,6.1153,0.7571,5.106
82,6.2312,0.6609,5.3263
83,5.9201,0.7438,4.9459
84,6.2376,0.697,5.3131
85,5.6357,0.6413,4.7458
86,5.8245,0.7471,4.6227
87,5.4754,0.7326,4.5221
88,5.547,0.5277,4.7744
89,5.6869,0.4845,4.9657
90,6.0794,0.5081,5.3391
91,5.7992,0.5257,4.9911
92,5.2131,0.54,4.4558
93,5.2647,0.5421,4.4509
94,5.4995,0.7758,4.5118
95,5.4521,0.5597,4.6712
96,5.2646,0.5867,4.4245
97,5.2172,0.5618,4.4474
98,5.1455,0.5083,4.4345
99,6.2568,0.5633,5.4387
100,5.5006,0.6136,4.6602
101,6.4056,0.8576,5.3065
102,6.3149,0.614,5.4615
103,5.6841,0.6098,4.8522
104,5.3003,0.5124,4.5518
105,6.1026,0.5131,5.3507
106,5.2653,0.5431,4.5079
107,5.2411,0.5394,4.4968
108,6.1525,0.7019,5.2032
109,5.2777,0.6308,4.4411
110,5.4345,0.7465,4.4742
111,5.1041,0.4897,4.4087
112,5.1541,0.5123,4.4405
113,5.1473,0.476,4.4613
114,5.3459,0.7063,4.4267
115,5.7268,0.7689,4.7154
116,5.8616,0.6953,4.9206
117,5.2318,0.55,4.4617
118,5.1965,0.4829,4.4861
119,5.2483,0.5035,4.521
120,5.1361,0.4999,4.431
121,5.5661,0.9056,4.4205
122,5.813,0.6734,4.901
123,5.336,0.5045,4.5981
124,5.2029,0.5094,4.4871
125,5.2385,0.5073,4.5254
126,5.0928,0.4591,4.4303
127,5.478,0.8319,4.4358
128,5.2036,0.5184,4.4779
129,5.1287,0.478,4.4461
130,5.1901,0.5212,4.4418
131,5.2634,0.4629,4.5898
132,5.3869,0.6215,4.5061
133,5.378,0.7036,4.4191
134,6.0298,0.5344,5.2297
135,5.6854,0.6366,4.7955
136,5.593,0.6572,4.6644
137,5.7394,0.6896,4.7731
138,5.4449,0.6269,4.5857
139,5.7681,0.673,4.8166
140,5.4188,0.7415,4.4541
